Apps,Enroll,Top10perc,Top25perc,Outstate
1660,721,23,52,7440
2186,512,16,29,12280
1428,336,22,50,11250
417,137,60,89,12960
193,55,16,44,7560
587,158,38,62,13500
353,103,17,45,13290
1899,489,37,68,13868
1038,227,30,63,15595
582,172,21,44,10468
1732,472,37,75,16548
2652,484,44,77,17080
1179,290,38,64,9690
1267,385,44,73,12572
494,157,23,46,8352
1420,220,9,22,8700
4302,418,83,96,19760
1216,423,19,40,10100
1130,322,14,23,9996
3540,1016,24,54,5130
713,252,25,44,15476
7313,1910,20,63,6806
619,219,20,51,11208
12809,3761,24,49,7434
708,166,46,74,8644
1734,951,12,52,3460
2135,491,23,59,12000
7548,3070,25,57,6300
662,257,12,30,11902
1879,497,36,69,13353
761,306,21,58,10990
948,295,42,74,11280
627,172,16,40,9925
602,206,21,47,8620
1690,662,30,61,10995
261,111,15,36,9690
1910,285,50,85,19264
2496,531,53,95,17926
990,279,18,45,11290
6075,2367,34,66,6450
1163,348,23,56,12850
807,308,39,63,8840
632,129,17,36,9000
1220,481,28,67,7800
1320,284,26,54,16304
1208,546,12,36,4425
632,222,14,24,9550
519,114,25,53,21700
3466,640,20,60,13800
1858,480,37,68,8050
878,200,16,41,8740
202,122,19,42,8540
502,104,11,28,6200
1646,542,12,30,5188
805,287,67,88,11660
500,156,25,55,6500
6773,1025,15,55,7844
377,181,15,30,7150
692,209,20,50,9900
20192,3810,45,80,18420
3356,418,76,100,19030
9251,3076,14,45,7452
443,151,5,36,14080
3767,1061,30,58,10870
4186,740,48,77,19380
367,158,12,41,9592
1436,1202,10,26,4371
392,155,16,44,10260
838,292,22,53,10265
7365,4615,48,82,2340
12586,1462,87,95,19528
1465,313,71,95,18165
6548,862,49,85,18550
860,285,32,70,13306
2362,700,40,68,13130
599,224,8,28,10518
1011,213,17,42,8900
563,247,23,52,12950
7811,1650,47,73,7380
4540,1483,5,60,7706
1784,913,29,56,10230
2087,657,20,54,7550
848,298,25,55,6060
2853,753,16,34,10750
1747,449,34,66,13050
100,35,10,52,8400
2694,489,75,93,19292
8728,1191,60,89,17900
1160,352,19,55,12200
1096,464,27,62,8150
1616,434,20,43,13125
3877,713,71,93,15700
1257,363,9,22,7656
1083,291,13,34,9270
1754,505,24,49,13712
3847,527,9,35,9384
776,198,25,58,14340
1307,616,25,55,7344
369,90,12,46,11400
495,210,35,55,8950
601,203,1,20,11230
1283,401,31,65,10938
4158,902,6,24,5962
4681,1436,10,35,4620
2785,1007,8,65,7242
174,88,8,29,8300
1013,288,55,82,11850
959,351,23,48,16624
212,91,28,56,13500
342,126,25,64,10335
81,51,33,71,8730
880,224,16,42,9300
883,428,3,37,7860
1196,499,21,47,4412
1860,227,71,93,17000
2887,457,30,61,17500
460,167,14,45,10740
2174,557,35,68,15960
8065,2301,37,65,8116
689,250,15,30,7168
1006,275,29,60,13925
604,295,15,47,9888
2848,456,58,84,18930
4856,727,46,75,19510
1432,317,29,58,10860
4772,1265,22,55,6120
798,238,14,41,9800
946,177,23,46,11790
344,97,11,42,12600
457,177,35,61,11180
938,511,29,62,12247
511,186,23,51,12224
444,122,34,53,10900
983,249,23,57,9990
546,189,16,42,11138
141,55,12,21,8300
672,278,29,60,11844
2994,659,70,95,18000
7117,1217,68,88,11720
2100,553,29,65,16240
3207,490,56,87,17142
9478,2194,29,65,8412
314,132,10,28,8294
737,242,21,67,10425
6756,871,78,96,18624
281,139,13,29,10500
232,106,16,34,6900
688,144,30,75,10800
528,186,22,56,9216
3035,438,42,93,18740
440,149,35,70,12050
1538,383,33,68,15248
2967,876,30,60,10628
1576,274,24,55,8000
995,398,26,47,6230
866,157,18,47,8920
504,185,10,36,9130
585,153,12,30,12292
8587,1087,87,99,19545
2373,452,77,96,17295
571,174,10,26,10850
967,459,15,48,4528
2762,533,32,60,16900
1994,495,50,80,14300
3014,487,31,68,18700
434,319,10,30,4486
1998,651,41,88,6700
793,244,20,47,9570
360,108,4,19,8310
604,328,25,50,9800
1011,410,9,33,9000
2799,839,34,65,13420
2153,321,56,84,18432
700,314,33,66,8730
13789,1583,90,98,18590
1358,274,35,63,15036
9274,2435,14,44,7248
3330,1303,15,36,5800
379,265,10,36,4950
458,165,16,42,11190
2172,564,14,50,5962
5597,1565,12,38,5710
486,227,19,48,9650
516,200,17,40,8770
1422,366,33,65,15360
2417,426,36,70,14190
1457,345,27,50,14990
245,125,23,46,11800
3624,858,11,39,9100
3151,958,14,40,7800
765,226,30,60,8578
8506,1236,76,97,17600
1256,853,43,79,5401
659,167,47,74,10485
560,113,36,56,10955
1801,438,14,50,6297
4784,781,30,66,15000
1455,452,1,16,6806
1339,336,12,36,9400
1415,338,18,52,5120
1947,523,39,74,13900
3306,1071,42,89,6597
1381,374,20,44,8025
11651,3023,50,90,6680
291,126,16,49,8390
4200,942,30,55,14235
3440,1123,16,35,6198
1801,819,13,38,5840
553,228,22,49,9650
804,281,29,72,10390
5187,446,3,14,13320
895,314,20,54,5500
346,146,51,87,9900
2161,685,56,82,13440
2464,678,24,57,10970
1110,332,18,36,8180
668,237,19,39,9476
809,294,27,52,12500
5653,1727,17,29,10800
7875,1492,38,71,17450
727,286,30,55,8100
11115,1390,71,93,18300
7837,2276,89,99,6489
3793,1238,9,24,6744
348,127,12,52,9150
3596,575,42,78,19964
633,284,10,27,6120
1886,526,31,67,13000
674,282,25,54,12200
440,221,26,51,9420
1151,248,40,64,15588
548,167,18,46,8958
555,242,14,41,9100
5165,1561,20,60,6108
780,198,7,20,11750
608,176,10,31,8330
510,194,20,46,10310
2039,432,56,91,15688
2491,573,57,88,5224
1202,326,18,44,13404
1709,634,36,72,14125
380,104,30,56,11000
3140,454,40,82,19700
1006,328,34,73,13252
817,307,20,40,13218
